Category,Address,Date,Sold_Area_m2,Total_Area_m2,Land_m2,Interior_Area_m2,Price_EUR,Total_EUR_m2,Land_EUR_m2,Land_EUR_ha,Type,Finishing,Dom_Parts,region_with_riga,region_riga_separate,municipality,Year,Quarter,Month
Earth,"Nākotnes Street 2A, Gulbene, Gulbene district.",2025-07-01,1073,1073,1073,,6050,6,5.64,,For commercial properties,,1/1,Vidzeme,Vidzeme,Gulbene,2025,3,7
Earth,"Osu Street 2, Jurmala",2025-06-27,82,4538,82,,4750,58,58.15,,For commercial properties,,9/500,Pierīga,Pierīga,Jurmala,2025,2,6
Earth,"Petri, Grobiņa parish, South Kurzeme county",2025-06-26,24800,24800,24800,,54000,2,2.18,21774.0,For commercial properties,,1/1,Unknown,Unknown,Unknown,2025,2,6
Earth,"Dobele Highway 42A, Jelgava",2025-06-20,5078,5078,5078,,72000,14,14.18,,For commercial properties,,1/1,Zemgale,Zemgale,Jelgava,2025,2,6
Earth,"Atmodas Street 42, Jelgava",2025-06-20,2710,2710,2710,,28000,10,10.33,,For commercial properties,,1/1,Zemgale,Zemgale,Jelgava,2025,2,6
Earth,"Malkas road 1E, Jelgava",2025-06-17,8329,8329,8329,,145000,17,17.41,,For commercial properties,,1/1,Zemgale,Zemgale,Jelgava,2025,2,6
Earth,"Lietuvas Street 28, Eleja, Eleja parish, Jelgava county",2025-06-17,14350,14350,14350,,25913,2,1.81,18058.0,For commercial properties,,1/1,Zemgale,Zemgale,Jelgava,2025,2,6
Earth,"Rūpniecības iela 52, Rīga",2025-06-17,427,2380,427,,90000,211,210.91,,Komercobjektiem,,1793/10000,Rīga,Rīga,Rīga,2025,2,6
Zeme,"Raiņa iela 9I, Valmiera, Valmieras nov.",2025-06-16,1874,1874,1874,,35000,19,18.68,,Komercobjektiem,,1/1,Vidzeme,Vidzeme,Valmiera,2025,2,6
Zeme,"Ošu iela 2, Jūrmala",2025-06-13,82,4538,82,,1000,12,12.24,,Komercobjektiem,,9/500,Pierīga,Pierīga,Jūrmala,2025,2,6
Zeme,"Spīdolas iela 4A, Aizkraukle, Aizkraukles nov.",2025-06-13,1524,1524,1524,,15000,10,9.84,,Komercobjektiem,,1/1,Zemgale,Zemgale,Aizkraukle,2025,2,6
Zeme,"Satekles iela 2B, Rīga",2025-06-11,8877,8877,8877,,5666000,638,638.28,,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,2,6
Zeme,"Stacijas iela 9, Kuldīga, Kuldīgas nov.",2025-06-09,4411,4411,4411,,67000,15,15.19,,Komercobjektiem,,1/1,Kurzeme,Kurzeme,Kuldīga,2025,2,6
Zeme,"Brīvības laukums 4A, Tukums, Tukuma nov.",2025-06-09,311,311,311,,6000,19,19.29,,Komercobjektiem,,1/1,Kurzeme,Kurzeme,Tukums,2025,2,6
Zeme,Rīga,2025-06-06,7215,7215,7215,,275000,38,38.12,,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,2,6
Zeme,"Druvas iela 3, Aizkraukle, Aizkraukles nov.",2025-06-05,4216,4216,4216,,11000,3,2.61,,Komercobjektiem,,1/1,Zemgale,Zemgale,Aizkraukle,2025,2,6
Zeme,"Ausmaņa iela 4, Jaunbērze, Jaunbērzes pag., Dobeles nov.",2025-05-29,3819,3819,3819,,2600,1,0.68,,Komercobjektiem,,1/1,Zemgale,Zemgale,Dobele,2025,2,5
Zeme,"Vējavas, Mārupes pag., Mārupes nov.",2025-05-28,30000,30000,30000,,70000,2,2.33,23333.0,Komercobjektiem,,1/1,Pierīga,Pierīga,Mārupe,2025,2,5
Zeme,"Brīvības iela 12, Rēzekne",2025-05-27,47,419,47,,1000,21,21.18,,Komercobjektiem,,658/5839,Latgale,Latgale,Rēzekne,2025,2,5
Zeme,Rīga,2025-05-27,610,610,610,,20800,34,34.1,,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,2,5
Zeme,"Augusta Dombrovska iela 80A, Rīga",2025-05-22,1768,1768,1768,,3000,2,1.7,,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,2,5
Zeme,"Fridriķa iela 1, Rīga",2025-05-21,664,664,664,,35000,53,52.71,,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,2,5
Zeme,"Raiņa iela 6A, Sauleskalns, Bērzaunes pag., Madonas nov.",2025-05-21,3467,3467,3467,,52005,15,15.0,,Komercobjektiem,,1/1,Vidzeme,Vidzeme,Madona,2025,2,5
Zeme,"Teodora Ūdera iela 14, Valmiera, Valmieras nov.",2025-05-14,314,628,314,,1000,3,3.18,,Komercobjektiem,,1/2,Vidzeme,Vidzeme,Valmiera,2025,2,5
Zeme,"Bodnieki, Milzkalne, Smārdes pag., Tukuma nov.",2025-05-13,2053,2053,2053,,2549,1,1.24,,Komercobjektiem,,1/1,Unknown,Unknown,Unknown,2025,2,5
Zeme,"Rīgas iela 49, Liepāja",2025-05-13,1022,1022,1022,,16500,16,16.14,,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,2,5
Zeme,"Ošu iela 2, Jūrmala",2025-05-12,82,4538,82,,2375,29,29.08,,Komercobjektiem,,9/500,Pierīga,Pierīga,Jūrmala,2025,2,5
Zeme,"Vakara iela 1, Skrunda, Kuldīgas nov.",2025-05-12,1527,1527,1527,,1600,1,1.05,,Komercobjektiem,,1/1,Kurzeme,Kurzeme,Kuldīga,2025,2,5
Zeme,"Rīgas iela 241B, Jēkabpils, Jēkabpils nov.",2025-05-08,932,932,932,,4380,5,4.7,,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,2,5
Zeme,Rīga,2025-05-07,5,1100,5,,7000,1552,1552.11,,Komercobjektiem,,1/244,Rīga,Rīga,Rīga,2025,2,5
Zeme,Rīga,2025-05-06,671,671,671,,6000,9,8.94,,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,2,5
Zeme,Rēzekne,2025-04-29,184,184,184,,33000,179,179.35,,Komercobjektiem,,1/1,Latgale,Latgale,Rēzekne,2025,2,4
Zeme,"Tirgoņu iela 3A, Priekule, Dienvidkurzemes nov.",2025-04-29,4079,4079,4079,,4860,1,1.19,,Komercobjektiem,,1/1,Unknown,Unknown,Unknown,2025,2,4
Zeme,"Rīgas iela 2, Tūja, Liepupes pag., Limbažu nov.",2025-04-29,6150,6150,6150,,200000,33,32.52,,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,2,4
Zeme,"Ošu iela 2, Jūrmala",2025-04-25,172,4538,172,,10000,58,57.99,,Komercobjektiem,,19/500,Pierīga,Pierīga,Jūrmala,2025,2,4
Zeme,"Boļi A, Mārupe, Mārupes nov.",2025-04-25,35649,35649,35649,,671000,19,18.82,188224.0,Komercobjektiem,,1/1,Pierīga,Pierīga,Mārupe,2025,2,4
Zeme,"Salas iela 5H, Ogre, Ogres nov.",2025-04-23,995,995,995,,35000,35,35.18,,Komercobjektiem,,1/1,Pierīga,Pierīga,Ogre,2025,2,4
Zeme,"Kalsnavas iela 1, Jūrmala",2025-04-22,588,588,588,,34000,58,57.82,,Komercobjektiem,,1/1,Pierīga,Pierīga,Jūrmala,2025,2,4
Zeme,"Priedaines iela 90, Rīga",2025-04-17,16490,16490,16490,,336000,20,20.38,203760.0,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,2,4
Zeme,"Grenču iela 11, Rīga",2025-04-17,27592,27592,27592,,488000,18,17.69,176863.0,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,2,4
Zeme,"Priedaines iela 92, Rīga",2025-04-17,5362,5362,5362,,114000,21,21.26,,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,2,4
Zeme,"Priedaines iela 49, Rīga",2025-04-17,38388,38388,38388,,588000,15,15.32,153173.0,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,2,4
Zeme,"Grenču iela 13, Rīga",2025-04-17,32673,32673,32673,,588000,18,18.0,179965.0,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,2,4
Zeme,"Priedaines iela 88, Rīga",2025-04-17,17737,17737,17737,,361000,20,20.35,203529.0,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,2,4
Zeme,"Kazeņu iela 10, Rīga",2025-04-16,38904,38904,38904,,664000,17,17.07,170677.0,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,2,4
Zeme,"Latgales iela 61, Rīga",2025-04-16,1905,1905,1905,,50000,26,26.25,,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,2,4
Zeme,"Upesciema iela 2A, Rīga",2025-04-14,1930,1930,1930,,52000,27,26.94,,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,2,4
Zeme,"Centra laukums 4, Ezere, Ezeres pag., Saldus nov.",2025-04-14,873,1284,873,,2000,2,2.29,,Komercobjektiem,,17/25,Kurzeme,Kurzeme,Saldus,2025,2,4
Zeme,"Raiņa iela 60A, Viesīte, Jēkabpils nov.",2025-04-08,10637,10637,10637,,6646,1,0.62,6248.0,Komercobjektiem,,1/1,Zemgale,Zemgale,Jēkabpils,2025,2,4
Zeme,"Jaunrūdas, Mārupes pag., Mārupes nov.",2025-04-08,6730,6730,6730,,500000,74,74.29,,Komercobjektiem,,1/1,Pierīga,Pierīga,Mārupe,2025,2,4
Zeme,Rīga,2025-04-07,236,236,236,,30000,127,127.12,,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,2,4
Zeme,"Ošu iela 2, Jūrmala",2025-04-04,82,4538,82,,1800,22,22.04,,Komercobjektiem,,9/500,Pierīga,Pierīga,Jūrmala,2025,2,4
Zeme,"Planīcas iela 5A, Kuldīga, Kuldīgas nov.",2025-04-01,595,595,595,,3300,6,5.55,,Komercobjektiem,,1/1,Kurzeme,Kurzeme,Kuldīga,2025,2,4
Zeme,"Ezera iela 98A, Liepāja",2025-03-28,1159,1159,1159,,37000,32,31.92,,Komercobjektiem,,1/1,Kurzeme,Kurzeme,Liepāja,2025,1,3
Zeme,"Jūras iela 26, Jūrmala",2025-03-27,14,1977,14,,9000,662,661.76,,Komercobjektiem,,68/9885,Pierīga,Pierīga,Jūrmala,2025,1,3
Zeme,"Sakas pag., Dienvidkurzemes nov.",2025-03-26,5000,5000,5000,,35500,7,7.1,,Komercobjektiem,,1/1,Unknown,Unknown,Unknown,2025,1,3
Zeme,"Līksnas iela 4, Rīga",2025-03-26,713,713,713,,53200,75,74.61,,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,1,3
Zeme,"Gunāra Astras iela 4, Rīga",2025-03-25,8106,8106,8106,,648480,80,80.0,,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,1,3
Zeme,Rīga,2025-03-24,107,119,107,,7000,65,65.36,,Komercobjektiem,,9/10,Rīga,Rīga,Rīga,2025,1,3
Zeme,"Kalna iela 19E, Kubuli, Kubulu pag., Balvu nov.",2025-03-21,2479,2479,2479,,10000,4,4.03,,Komercobjektiem,,1/1,Unknown,Unknown,Unknown,2025,1,3
Zeme,"Lāčplēša iela 87, Rīga",2025-03-21,1145,5144,1145,,186000,163,162.51,,Komercobjektiem,,89/400,Rīga,Rīga,Rīga,2025,1,3
Zeme,"Baznīcas iela 10/12, Liepāja",2025-03-18,2025,2025,2025,,150000,74,74.07,,Komercobjektiem,,1/1,Kurzeme,Kurzeme,Liepāja,2025,1,3
Zeme,"Daugavpils iela 24, Preiļi, Preiļu nov.",2025-03-11,1966,1966,1966,,8000,4,4.07,,Komercobjektiem,,1/1,Latgale,Latgale,Daugavpils,2025,1,3
Zeme,"Biržas iela 4C, Ludza, Ludzas nov.",2025-03-10,324,324,324,,1000,3,3.09,,Komercobjektiem,,1/1,Latgale,Latgale,Ludza,2025,1,3
Zeme,"Krāslavas iela 2A, Preiļi, Preiļu nov.",2025-03-05,1500,1500,1500,,20600,14,13.73,,Komercobjektiem,,1/1,Latgale,Latgale,Krāslava,2025,1,3
Zeme,"Tirgus laukums 13D, Preiļi, Preiļu nov.",2025-03-05,600,600,600,,8200,14,13.67,,Komercobjektiem,,1/1,Latgale,Latgale,Preiļi,2025,1,3
Zeme,"Dzelzavas iela 113A, Rīga",2025-03-05,3067,3067,3067,,130000,42,42.39,,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,1,3
Zeme,Rīga,2025-03-04,309,309,309,,58092,188,188.0,,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,1,3
Zeme,"Sakas pag., Dienvidkurzemes nov.",2025-03-04,4994,4994,4994,,38000,8,7.61,,Komercobjektiem,,1/1,Unknown,Unknown,Unknown,2025,1,3
Zeme,"Zemgales iela 34, Varakļāni, Madonas nov.",2025-03-03,1543,1543,1543,,4500,3,2.92,,Komercobjektiem,,1/1,Vidzeme,Vidzeme,Madona,2025,1,3
Zeme,"Cukura iela 37, Jelgava",2025-02-28,5233,5233,5233,,90000,17,17.2,,Komercobjektiem,,1/1,Zemgale,Zemgale,Jelgava,2025,1,2
Zeme,"Tīnūžu šoseja 9, Ikšķile, Ogres nov.",2025-02-28,66,4580,66,,3000,46,45.71,,Komercobjektiem,,286/19959,Pierīga,Pierīga,Ogre,2025,1,2
Zeme,"Stacijas iela 7, Valmiera, Valmieras nov.",2025-02-27,1066,1066,1066,,12002,11,11.26,,Komercobjektiem,,1/1,Vidzeme,Vidzeme,Valmiera,2025,1,2
Zeme,"Prāmju iela 3, Ventspils",2025-02-26,1189,1189,1189,,12000,10,10.09,,Komercobjektiem,,1/1,Kurzeme,Kurzeme,Ventspils,2025,1,2
Zeme,"Ošu iela 2, Jūrmala",2025-02-20,82,4538,82,,2000,24,24.49,,Komercobjektiem,,9/500,Pierīga,Pierīga,Jūrmala,2025,1,2
Zeme,"Slapjā iela 6A, Liepāja",2025-02-20,1121,1121,1121,,26500,24,23.64,,Komercobjektiem,,1/1,Kurzeme,Kurzeme,Liepāja,2025,1,2
Zeme,"Dzirciema iela 27, Rīga",2025-02-18,14,1710,14,,1000,73,72.52,,Komercobjektiem,,346/42917,Rīga,Rīga,Rīga,2025,1,2
Zeme,"Vecā Buļļu iela 27, Rīga",2025-02-18,419,2831,419,,11950,29,28.52,,Komercobjektiem,,419/2831,Rīga,Rīga,Rīga,2025,1,2
Zeme,"Jāņa Zābera iela 8A, Madona, Madonas nov.",2025-02-18,2224,2224,2224,,11816,5,5.31,,Komercobjektiem,,1/1,Vidzeme,Vidzeme,Madona,2025,1,2
Zeme,"Rūpniecības iela 6, Aizkraukle, Aizkraukles nov.",2025-02-14,1876,1876,1876,,6000,3,3.2,,Komercobjektiem,,1/1,Zemgale,Zemgale,Aizkraukle,2025,1,2
Zeme,"Krīdenera dambis 2, Rīga",2025-02-14,43,1425,43,,10000,232,231.59,,Komercobjektiem,,1/33,Rīga,Rīga,Rīga,2025,1,2
Zeme,"Brāļu Skrindu iela 9, Rēzekne",2025-02-12,495,495,495,,7200,15,14.55,,Komercobjektiem,,1/1,Latgale,Latgale,Rēzekne,2025,1,2
Zeme,"Hokeja iela 4, Piņķi, Babītes pag., Mārupes nov.",2025-02-11,1106,5818,1106,,12000,11,10.85,,Komercobjektiem,,553/2909,Pierīga,Pierīga,Mārupe,2025,1,2
Zeme,"Jaunpils iela 11, Rīga",2025-02-06,4251,4251,4251,,242000,57,56.93,,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,1,2
Zeme,Rīga,2025-02-06,14000,14000,14000,,3279100,234,234.22,2342214.0,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,1,2
Zeme,"Dārzciema iela 73, Rīga",2025-01-28,3551,3551,3551,,629200,177,177.19,,Komercobjektiem,,1/1,Rīga,Rīga,Rīga,2025,1,1
Zeme,"Pakalni, Burtnieku pag., Valmieras nov.",2025-01-28,7135,7135,7135,,6100,1,0.85,,Komercobjektiem,,1/1,Vidzeme,Vidzeme,Valmiera,2025,1,1
Zeme,"Liepājas iela 16C, Rēzekne",2025-01-23,142,142,142,,7000,49,49.3,,Komercobjektiem,,1/1,Kurzeme,Kurzeme,Liepāja,2025,1,1
Zeme,"Krīdenera dambis 2, Rīga",2025-01-23,43,1425,43,,10000,232,231.59,,Komercobjektiem,,1/33,Rīga,Rīga,Rīga,2025,1,1
Zeme,"Bebru iela 13, Brīvkalni, Babītes pag., Mārupes nov.",2025-01-23,2815,2815,2815,,17000,6,6.04,,Komercobjektiem,,1/1,Pierīga,Pierīga,Mārupe,2025,1,1
Zeme,"Ķekavas pag., Ķekavas nov.",2025-01-22,17200,17200,17200,,11000,1,0.64,6395.0,Komercobjektiem,,1/1,Pierīga,Pierīga,Ķekava,2025,1,1
Zeme,"Elejas pag., Jelgavas nov.",2025-01-21,1879,1879,1879,,6200,3,3.3,,Komercobjektiem,,1/1,Zemgale,Zemgale,Jelgava,2025,1,1
Zeme,"Lāčplēša iela 5, Aizkraukle, Aizkraukles nov.",2025-01-21,1014,3693,1014,,1500,1,1.48,,Komercobjektiem,,549/2000,Zemgale,Zemgale,Aizkraukle,2025,1,1
Zeme,"Alvejas iela 10, Pārolaine, Olaines pag., Olaines nov.",2025-01-14,10786,10786,10786,,7766,1,0.72,7200.0,Komercobjektiem,,1/1,Pierīga,Pierīga,Olaine,2025,1,1
Zeme,"Alvejas iela 20, Pārolaine, Olaines pag., Olaines nov.",2025-01-14,22574,22574,22574,,16253,1,0.72,7200.0,Komercobjektiem,,1/1,Pierīga,Pierīga,Olaine,2025,1,1
Zeme,"Alvejas iela 3, Pārolaine, Olaines pag., Olaines nov.",2025-01-14,13678,13678,13678,,9848,1,0.72,7200.0,Komercobjektiem,,1/1,Pierīga,Pierīga,Olaine,2025,1,1
Zeme,"Alvejas iela 5, Pārolaine, Olaines pag., Olaines nov.",2025-01-14,20494,20494,20494,,14756,1,0.72,7200.0,Komercobjektiem,,1/1,Pierīga,Pierīga,Olaine,2025,1,1
Zeme,"Alvejas iela 16, Pārolaine, Olaines pag., Olaines nov.",2025-01-14,19898,19898,19898,,14327,1,0.72,7200.0,Komercobjektiem,,1/1,Pierīga,Pierīga,Olaine,2025,1,1
Zeme,"Alvejas iela 8, Pārolaine, Olaines pag., Olaines nov.",2025-01-14,12804,12804,12804,,9219,1,0.72,7200.0,Komercobjektiem,,1/1,Pierīga,Pierīga,Olaine,2025,1,1
